
 sfworker.cc l261 tx_time 34.316413, tti 1496, rnti 95
 sfworker.cc l261 tx_time 34.318413, tti 1498, rnti 95
 sfworker.cc l261 tx_time 34.322413, tti 1502, rnti 95
 sfworker.cc l261 tx_time 34.324413, tti 1504, rnti 95
 sfworker.cc l261 tx_time 35.284414, tti 2464, rnti 95
 sfworker.cc l261 tx_time 35.294414, tti 2474, rnti 95
 sfworker.cc l261 tx_time 35.296414, tti 2476, rnti 95
 sfworker.cc l261 tx_time 35.298414, tti 2478, rnti 95
 sfworker.cc l261 tx_time 35.302414, tti 2482, rnti 95
 sfworker.cc l261 tx_time 35.304414, tti 2484, rnti 95
 sfworker.cc l26tx_time 35.303414, tti 2483, rnti 95
 sfworker.cc l261 tx_time 35.309414, tti 2489, rnti 95
 sfworker.cc l261 tx_time 36.313415, tti 3493, rnti 95
 sfworker.cc l261 tx_time 36.315415, tti 3495, rnti 95
 sfworker.cc l261 tx_time 36.317415, tti 3497, rnti 95
 sfworker.cc l261 tx_time 36.321415, tti 3501, rnti 95
 sfworker.cc l261 tx_time 36.323415, tti 3503, rnti 95
 sfworker.cc l261 tx_time 36.325415, tti 3505, rnti 95
 sfworker.cc l261 tx_time 36.329415, tti 3509, rnti 95
 sfworker.cc l261 tx_time 37.313416, tti 4493, rnti 95
 sfworker.cc l261 tx_time 37.315416, tti 4495, rnti 95
 sfworker.cc l261 tx_time 37.317416, tti 4497, rnti 95
 sfworker.cc l261 tx_time 37.321416, tti 4501, rnti 95
 sfworker.cc l261 tx_time 37.323416, tti 4503, rnti 95
 sfworker.cc l261 tx_time 37.325416, tti 4505, rnti 95
 sfworker.cc l261 tx_time 37.329416, tti 4509, rnti 95
 sfworker.cc l261 tx_time 38.313417, tti 5493, rnti 95
 sfworker.cc l261 tx_time 38.315417, tti 5495, rnti 95
 sfworker.cc l261 tx_time 38.317417, tti 5497, rnti 95
 sfworker.cc l261 tx_time 38.321417, tti 5501, rnti 95
 sfworker.cc l261 tx_time 38.323417, tti 5503, rnti 95
 sfworker.cc l261 tx_time 38.325417, tti 5505, rnti 95
 sfworker.cc l261 tx_time 38.329417, tti 5509, rnti 95
 sfworker.cc l261 tx_time 39.313419, tti 6493, rnti 95
 sfworker.cc l261 tx_time 39.315419, tti 6495, rnti 95
 sfworker.cc l261 tx_time 39.317419, tti 6497, rnti 95
 sfworker.cc l261 tx_time 39.321419, tti 6501, rnti 95
 sfworker.cc l261 tx_time 39.323419, tti 6503, rnti 95
 sfworker.cc l261 tx_time 39.325419, tti 6505, rnti 95
 sfworker.cc l261 tx_time 39.329419, tti 6509, rnti 95
 sfworker.cc l261 tx_time 40.313420, tti 7493, rnti 95
 sfworker.cc l261 tx_time 40.315420, tti 7495, rnti 95
 sfworker.cc l261 tx_time 40.317420, tti 7497, rnti 95
 sfworker.cc l261 tx_time 40.321420, tti 7501, rnti 95
 sfworker.cc l261 tx_time 40.323420, tti 7503, rnti 95
 sfworker.cc l261 tx_time 40.325420, tti 7505, rnti 95
 sfworker.cc l261 tx_time 40.329420, tti 7509, rnti 95
 sfworker.cc l261 tx_time 41.313421, tti 8493, rnti 95
 sfworker.cc l261 tx_time 41.315421, tti 8495, rnti 95
 sfworker.cc l261 tx_time 41.317421, tti 8497, rnti 95
 sfworker.cc l261 tx_time 41.321421, tti 8501, rnti 95
 sfworker.cc l261 tx_time 41.323421, tti 8503, rnti 95
 sfworker.cc l261 tx_time 41.325421, tti 8505, rnti 95
 sfworker.cc l261 tx_time 41.329421, tti 8509, rnti 95
 sfworker.cc l261 tx_time 42.313422, tti 9493, rnti 95
 sfworker.cc l261 tx_time 42.315422, tti 9495, rnti 95
 sfworker.cc l261 tx_time 42.317422, tti 9497, rnti 95
 sfworker.cc l261 tx_time 42.321422, tti 9501, rnti 95
 sfworker.cc l261 tx_time 42.323422, tti 9503, rnti 95
 sfworker.cc l261 tx_time 42.325422, tti 9505, rnti 95
 sfworker.cc l261 tx_time 42.329422, tti 9509, rnti 95
 sfworker.cc l261 tx_time 43.313423, tti 253, rnti 95
 sfworker.cc l261 tx_time 43.315423, tti 255, rnti 95
 sfworker.cc l261 tx_time 43.317423, tti 257, rnti 95
 sfworker.cc l261 tx_time 43.321423, tti 261, rnti 95
 sfworker.cc l261 tx_time 43.323423, tti 263, rnti 95
 sfworker.cc l261 tx_time 43.325423, tti 265, rnti 95
 sfworker.cc l261 tx_time 43.329423, tti 269, rnti 95
 sfworker.cc l261 tx_time 44.333424, tti 1273, rnti 95
 sfworker.cc l261 tx_time 44.335424, tti 1275, rnti 95
 sfworker.cc l261 tx_time 44.337424, tti 1277, rnti 95
 sfworker.cc l261 tx_time 44.341424, tti 1281, rnti 95
 sfworker.cc l261 tx_time 44.343424, tti 1283, rnti 95
 sfworker.cc l261 tx_time 44.349424, tti 1289, rnti 95
 sfworker.cc l261 tx_time 45.313425, tti 2253, rnti 95
 sfworker.cc l261 tx_time 45.315425, tti 2255, rnti 95
 sfworker.cc l261 tx_time 45.317425, tti 2257, rnti 95
 sfworker.cc l261 tx_time 45.321425, tti 2261, rnti 95
 sfworker.cc l261 tx_time 45.323425, tti 2263, rnti 95
 sfworker.cc l261 tx_time 45.325425, tti 2265, rnti 95
 sfworker.cc l261 tx_time 45.329425, tti 2269, rnti 95
 sfworker.cc l261 tx_time 46.313426, tti 3253, rnti 95
 sfworker.cc l261 tx_time 46.315426, tti 3255, rnti 95
 sfworker.cc l261 tx_time 46.317426, tti 3257, rnti 95
 sfworker.cc l261 tx_time 46.321426, tti 3261, rnti1 tx_time 35.306414, tti 2486, rnti 95
 sfworker.cc l261 tx_time 36.304415, tti 3484, rnti 95
 sfworker.cc l261 tx_time 36.314415, tti 3494, rnti 95
 sfworker.cc l261 tx_time 36.316415, tti 3496, rnti 95
 sfworker.cc l261 tx_time 36.318415, tti 3498, rnti 95
 sfworker.cc l261 tx_time 36.322415, tti 3502, rnti 95
 sfworker.cc l261 tx_time 36.324415, tti 3504, rnti 95
 sfworker.cc l261 tx_time 36.326415, tti 3506, rnti 95
 sfworker.cc l261 tx_time 37.304416, tti 4484, rnti 95
 sfworker.cc l261 tx_time 37.314416, tti 4494, rnti 95
 sfworker.cc l261 tx_time 37.316416, tti 4496, rnti 95
 sfworker.cc l261 tx_time 37.318416, tti 4498, rnti 95
 sfworker.cc l261 tx_time 37.322416, tti 4502, rnti 95
 sfworker.cc l261 tx_time 37.324416, tti 4504, rnti 95
 sfworker.cc l261 tx_time 38.304417, tti 5484, rnti 95
 sfworker.cc l261 tx_time 38.314417, tti 5494, rnti 95
 sfworker.cc l261 tx_time 38.316417, tti 5496, rnti 95
 sfworker.cc l261 tx_time 38.318417, tti 5498, rnti 95
 sfworker.cc l261 tx_time 38.322417, tti 5502, rnti 95
 sfworker.cc l261 tx_time 38.324417, tti 5504, rnti 95
 sfworker.cc l261 tx_time 38.326417, tti 5506, rnti 95
 sfworker.cc l261 tx_time 39.304419, tti 6484, rnti 95
 sfworker.cc l261 tx_time 39.314419, tti 6494, rnti 95
 sfworker.cc l261 tx_time 39.316419, tti 6496, rnti 95
 sfworker.cc l261 tx_time 39.318419, tti 6498, rnti 95
 sfworker.cc l261 tx_time 39.322419, tti 6502, rnti 95
